Period,Portfolio,CAGR,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Annualized Alpha
2016–2019,Four-Factor Strategy,0.2033,0.1269,1.4146,-0.1772,0.0483
2016–2019,Momentum + Low Volatility,0.1603,0.1334,1.0794,-0.1852,0.0117
2016–2019,SPY Benchmark,0.1616,0.1257,1.147,-0.1935,
2020–2022,Four-Factor Strategy,0.1578,0.2335,0.708,-0.2657,0.085
2020–2022,Momentum + Low Volatility,0.1344,0.2283,0.6297,-0.2846,0.0682
2020–2022,SPY Benchmark,0.073,0.2499,0.3741,-0.3372,
2023–2025,Four-Factor Strategy,0.1534,0.1381,0.7601,-0.1766,-0.0254
2023–2025,Momentum + Low Volatility,0.1949,0.1415,0.9954,-0.1741,0.0109
2023–2025,SPY Benchmark,0.2311,0.1534,1.1246,-0.1876,
