Transaction Cost (bps),Final Portfolio Value,CAGR,Sharpe Ratio,Maximum Drawdown
0,512326.2821,0.1792,0.9292,-0.2654
5,501090.8951,0.1766,0.916,-0.2656
10,490099.4048,0.174,0.9027,-0.2657
25,458536.4643,0.1663,0.8629,-0.2662
50,410341.7308,0.1536,0.7963,-0.267
